DOE_SCHOOL_CODE	SCHOOL_NAME	RFS_BUSHFIRE_CATEGORY
1003	Abermain Public School	Category 1
1030	Alstonville Public School	Buffer
1040	Anna Bay Public School	Category 1
1045	Appin Public School	Buffer
1051	Ardlethan Central School	Category 1
1066	Ashford Central School	Buffer
1066	Ashford Central School	Category 1
1082	Avoca Beach Public School	Category 1
1084	Awaba Public School	Category 2
1085	Colo Vale Public School	Category 1
1111	Ballimore Public School	Category 2
1130	Baradine Central School	Category 1
1130	Baradine Central School	Category 2
1136	Barkers Vale Public School	Category 1
1138	Barnsley Public School	Category 1
1149	Batemans Bay Public School	Category 1
1160	Beckom Public School	Category 1
1166	Beecroft Public School	Buffer
1168	Bega Valley Public School	Buffer
1177	Bellbird Public School	Category 1
1178	Bellbrook Public School	Category 1
1181	Bellingen Public School	Buffer
1182	Belltrees Public School	Category 1
1196	Ben Lomond Public School	Buffer
1205	Berowra Public School	Category 1
1209	Berrima Public School	Category 1
1217	Bexhill Public School	Buffer
1224	Bilambil Public School	Buffer
1227	Ocean Shores Public School	Category 1
1228	Bilpin Public School	Category 1
1228	Bilpin Public School	Category 1
1230	Binalong Public School	Buffer
1237	Binnaway Central School	Category 2
1247	Black Hill Public School	Category 1
1249	Black Mountain Public School	Buffer
1258	Blaxland Public School	Category 2
1266	Boambee Public School	Buffer
1269	Bobin Public School	Category 1
1271	Bobs Farm Public School	Buffer
1290	Bonalbo Central School	Category 1
1290	Bonalbo Central School	Category 2
1293	Bongongo Public School	Category 1
1297	Bonville Public School	Category 1
1303	Booligal Public School	Buffer
1318	Boree Creek Public School	Category 1
1336	Bowraville Central School	Category 1
1340	Braidwood Central School	Category 2
1341	Branxton Public School	Buffer
1346	Colo Heights Public School	Category 1
1360	Bringelly Public School	Category 1
1363	Brocklesby Public School	Category 2
1377	Brooklyn Public School	Category 2
1402	Bulahdelah Central School	Buffer
1411	Bulli Public School	Buffer
1414	Bundanoon Public School	Buffer
1424	Bungwahl Public School	Category 1
1433	Burnside Public School	Buffer
1437	Burraga Public School	Category 1
1449	Burringbar Public School	Category 2
1453	Burrumbuttock Public School	Category 2
1460	Buxton Public School	Buffer
1492	Caniaba Public School	Buffer
1498	Brisbania Public School	Category 1
1501	Capertee Public School	Buffer
1502	Captains Flat Public School	Buffer
1502	Captains Flat Public School	Category 1
1515	Carool Public School	Buffer
1526	Casino Public School	Category 2
1535	Cattai Public School	Category 1
1543	Cessnock East Public School	Category 1
1547	Chandler Public School	Category 1
1548	The Channon Public School	Category 1
1551	Pacific Palms Public School	Category 1
1558	Chillingham Public School	Category 1
1580	Cobbitty Public School	Category 1
1583	Coffee Camp Public School	Category 1
1584	Coffs Harbour Public School	Buffer
1590	Collector Public School	Category 1
1604	Comleroy Road Public School	Category 1
1621	Coolah Central School	Category 1
1621	Coolah Central School	Category 2
1621	Coolah Central School	Category 2
1624	Coolamon Central School	Category 1
1627	Coolongolook Public School	Category 2
1630	Coonabarabran Public School	Category 1
1634	Coorabell Public School	Category 1
1635	Cooranbong Public School	Category 1
1644	Coraki Public School	Buffer
1654	Corindi Public School	Category 1
1659	Corowa South Public School	Category 1
1668	Cowan Public School	Category 2
1674	Crabbes Creek Public School	Category 1
1674	Crabbes Creek Public School	Category 2
1681	Crescent Head Public School	Category 1
1685	Crossmaglen Public School	Buffer
1690	Crystal Creek Public School	Category 1
1700	Cullen Bullen Public School	Buffer
1727	Dapto Public School	Buffer
1736	Darlington Point Public School	Buffer
1736	Darlington Point Public School	Category 2
1740	Leeville Public School	Category 2
1762	Dora Creek Public School	Category 1
1769	Doubtful Creek Public School	Category 2
1770	Douglas Park Public School	Buffer
1771	Drake Public School	Category 1
1771	Drake Public School	Category 1
1778	Dudley Public School	Category 1
1788	Dundurrabin Public School	Category 1
1789	Dunedoo Central School	Category 2
1791	Dungay Public School	Buffer
1793	Dungowan Public School	Category 2
1799	Dural Public School	Buffer
1801	Duranbah Public School	Category 1
1803	Durrumbul Public School	Buffer
1813	Ebenezer Public School	Category 1
1822	Congewai Public School	Category 1
1824	Elands Public School	Category 1
1826	Ellalong Public School	Category 1
1830	Ellerston Public School	Category 1
1835	Eltham Public School	Category 2
1839	Empire Bay Public School	Category 1
1850	Epping Public School	Buffer
1856	Erina Heights Public School	Category 1
1869	Euchareena Public School	Category 1
1873	Eumungerie Public School	Category 2
1874	Eungai Public School	Category 1
1879	Eureka Public School	Buffer
